sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
s0029	1	novogene_202402	HHNVFDSX7	ILLUMINA	3	WCF07392	WCF07392-novogene_202402-3	data/fastqs/novogene_202402/WCF07392/WCF07392_CKDL240000595-1A_HHNVFDSX7_L3_1.fq.gz	data/fastqs/novogene_202402/WCF07392/WCF07392_CKDL240000595-1A_HHNVFDSX7_L3_2.fq.gz	6820713.767	6959194.171
s0029	2	novogene_20240510	H3WCCDSXC	ILLUMINA	2	WCF07392	WCF07392-novogene_20240510-2	data/fastqs/novogene_20240510/WCF07392/WCF07392_CKDL240015136-1A_H3WCCDSXC_L2_1.fq.gz	data/fastqs/novogene_20240510/WCF07392/WCF07392_CKDL240015136-1A_H3WCCDSXC_L2_2.fq.gz	6728366.764	6650107.039
s0030	1	novogene_202402	HHNVFDSX7	ILLUMINA	3	WCF07393	WCF07393-novogene_202402-3	data/fastqs/novogene_202402/WCF07393/WCF07393_CKDL240000595-1A_HHNVFDSX7_L3_1.fq.gz	data/fastqs/novogene_202402/WCF07393/WCF07393_CKDL240000595-1A_HHNVFDSX7_L3_2.fq.gz	7425134.598	7858854.478
s0030	2	novogene_20240510	H3WCCDSXC	ILLUMINA	2	WCF07393	WCF07393-novogene_20240510-2	data/fastqs/novogene_20240510/WCF07393/WCF07393_CKDL240015136-1A_H3WCCDSXC_L2_1.fq.gz	data/fastqs/novogene_20240510/WCF07393/WCF07393_CKDL240015136-1A_H3WCCDSXC_L2_2.fq.gz	7314377.391	7560789.665
s0031	1	novogene_202402	HHNVFDSX7	ILLUMINA	4	WCF07395	WCF07395-novogene_202402-4	data/fastqs/novogene_202402/WCF07395/WCF07395_CKDL240000596-1A_HHNVFDSX7_L4_1.fq.gz	data/fastqs/novogene_202402/WCF07395/WCF07395_CKDL240000596-1A_HHNVFDSX7_L4_2.fq.gz	6669398.578	6595725.025
s0031	2	novogene_20240510	H3WCCDSXC	ILLUMINA	3	WCF07395	WCF07395-novogene_20240510-3	data/fastqs/novogene_20240510/WCF07395/WCF07395_CKDL240015137-1A_H3WCCDSXC_L3_1.fq.gz	data/fastqs/novogene_20240510/WCF07395/WCF07395_CKDL240015137-1A_H3WCCDSXC_L3_2.fq.gz	6223297.829	6005317.241
s0032	1	novogene_202402	HHNVFDSX7	ILLUMINA	4	WCF07396	WCF07396-novogene_202402-4	data/fastqs/novogene_202402/WCF07396/WCF07396_CKDL240000596-1A_HHNVFDSX7_L4_1.fq.gz	data/fastqs/novogene_202402/WCF07396/WCF07396_CKDL240000596-1A_HHNVFDSX7_L4_2.fq.gz	6114713.14	6394204.773
s0032	2	novogene_20240510	H3WCCDSXC	ILLUMINA	3	WCF07396	WCF07396-novogene_20240510-3	data/fastqs/novogene_20240510/WCF07396/WCF07396_CKDL240015137-1A_H3WCCDSXC_L3_1.fq.gz	data/fastqs/novogene_20240510/WCF07396/WCF07396_CKDL240015137-1A_H3WCCDSXC_L3_2.fq.gz	5870556.961	6003982.551
s0033	1	novogene_202402	HHNVFDSX7	ILLUMINA	2	WCF07397	WCF07397-novogene_202402-2	data/fastqs/novogene_202402/WCF07397/WCF07397_CKDL240000597-1A_HHNVFDSX7_L2_1.fq.gz	data/fastqs/novogene_202402/WCF07397/WCF07397_CKDL240000597-1A_HHNVFDSX7_L2_2.fq.gz	6516941.778	6937970.318
s0033	2	novogene_20240524	HCHGVDSXC	ILLUMINA	1	WCF07397	WCF07397-novogene_20240524-1	data/fastqs/novogene_20240524/WCF07397/WCF07397_CKDL240017243-1A_HCHGVDSXC_L1_1.fq.gz	data/fastqs/novogene_20240524/WCF07397/WCF07397_CKDL240017243-1A_HCHGVDSXC_L1_2.fq.gz	6113110.24	6358988.768
s0034	1	novogene_202402	HHNVFDSX7	ILLUMINA	4	WCF07401	WCF07401-novogene_202402-4	data/fastqs/novogene_202402/WCF07401/WCF07401_CKDL240000596-1A_HHNVFDSX7_L4_1.fq.gz	data/fastqs/novogene_202402/WCF07401/WCF07401_CKDL240000596-1A_HHNVFDSX7_L4_2.fq.gz	7775253.398	7857564.453
s0034	2	novogene_20240510	H3WCCDSXC	ILLUMINA	3	WCF07401	WCF07401-novogene_20240510-3	data/fastqs/novogene_20240510/WCF07401/WCF07401_CKDL240015137-1A_H3WCCDSXC_L3_1.fq.gz	data/fastqs/novogene_20240510/WCF07401/WCF07401_CKDL240015137-1A_H3WCCDSXC_L3_2.fq.gz	7275976.981	7155177.898
s0035	1	novogene_202402	HHNVFDSX7	ILLUMINA	4	WCF07402	WCF07402-novogene_202402-4	data/fastqs/novogene_202402/WCF07402/WCF07402_CKDL240000596-1A_HHNVFDSX7_L4_1.fq.gz	data/fastqs/novogene_202402/WCF07402/WCF07402_CKDL240000596-1A_HHNVFDSX7_L4_2.fq.gz	7451367.439	7941800.608
s0035	2	novogene_20240510	H3WCCDSXC	ILLUMINA	3	WCF07402	WCF07402-novogene_20240510-3	data/fastqs/novogene_20240510/WCF07402/WCF07402_CKDL240015137-1A_H3WCCDSXC_L3_1.fq.gz	data/fastqs/novogene_20240510/WCF07402/WCF07402_CKDL240015137-1A_H3WCCDSXC_L3_2.fq.gz	7056747.402	7330762.961
s0036	1	novogene_202402	HHNVFDSX7	ILLUMINA	2	WCF07403	WCF07403-novogene_202402-2	data/fastqs/novogene_202402/WCF07403/WCF07403_CKDL240000597-1A_HHNVFDSX7_L2_1.fq.gz	data/fastqs/novogene_202402/WCF07403/WCF07403_CKDL240000597-1A_HHNVFDSX7_L2_2.fq.gz	5756090.284	6126773.971
s0036	2	novogene_20240524	HCHGVDSXC	ILLUMINA	1	WCF07403	WCF07403-novogene_20240524-1	data/fastqs/novogene_20240524/WCF07403/WCF07403_CKDL240017243-1A_HCHGVDSXC_L1_1.fq.gz	data/fastqs/novogene_20240524/WCF07403/WCF07403_CKDL240017243-1A_HCHGVDSXC_L1_2.fq.gz	5468344.281	5701602.393
s0037	1	novogene_202402	HHNVFDSX7	ILLUMINA	4	WCF07477	WCF07477-novogene_202402-4	data/fastqs/novogene_202402/WCF07477/WCF07477_CKDL240000596-1A_HHNVFDSX7_L4_1.fq.gz	data/fastqs/novogene_202402/WCF07477/WCF07477_CKDL240000596-1A_HHNVFDSX7_L4_2.fq.gz	7860582.773	8432829.818
s0037	2	novogene_20240510	H3WCCDSXC	ILLUMINA	3	WCF07477	WCF07477-novogene_20240510-3	data/fastqs/novogene_20240510/WCF07477/WCF07477_CKDL240015137-1A_H3WCCDSXC_L3_1.fq.gz	data/fastqs/novogene_20240510/WCF07477/WCF07477_CKDL240015137-1A_H3WCCDSXC_L3_2.fq.gz	7437318.202	7780205.065
s0038	1	novogene_202402	HHNVFDSX7	ILLUMINA	3	WCF07478	WCF07478-novogene_202402-3	data/fastqs/novogene_202402/WCF07478/WCF07478_CKDL240000595-1A_HHNVFDSX7_L3_1.fq.gz	data/fastqs/novogene_202402/WCF07478/WCF07478_CKDL240000595-1A_HHNVFDSX7_L3_2.fq.gz	3757871.181	3984580.611
s0038	2	novogene_20240510	H3WCCDSXC	ILLUMINA	2	WCF07478	WCF07478-novogene_20240510-2	data/fastqs/novogene_20240510/WCF07478/WCF07478_CKDL240015136-1A_H3WCCDSXC_L2_1.fq.gz	data/fastqs/novogene_20240510/WCF07478/WCF07478_CKDL240015136-1A_H3WCCDSXC_L2_2.fq.gz	7624446.117	7897555.115
s0039	1	novogene_202402	HHNVFDSX7	ILLUMINA	3	WCF07494	WCF07494-novogene_202402-3	data/fastqs/novogene_202402/WCF07494/WCF07494_CKDL240000595-1A_HHNVFDSX7_L3_1.fq.gz	data/fastqs/novogene_202402/WCF07494/WCF07494_CKDL240000595-1A_HHNVFDSX7_L3_2.fq.gz	8298820.73	8876015.154
s0039	2	novogene_20240510	H3WCCDSXC	ILLUMINA	2	WCF07494	WCF07494-novogene_20240510-2	data/fastqs/novogene_20240510/WCF07494/WCF07494_CKDL240015136-1A_H3WCCDSXC_L2_1.fq.gz	data/fastqs/novogene_20240510/WCF07494/WCF07494_CKDL240015136-1A_H3WCCDSXC_L2_2.fq.gz	8050473.491	8354165.696
s0040	1	novogene_202402	HHNVFDSX7	ILLUMINA	3	WCF07496	WCF07496-novogene_202402-3	data/fastqs/novogene_202402/WCF07496/WCF07496_CKDL240000595-1A_HHNVFDSX7_L3_1.fq.gz	data/fastqs/novogene_202402/WCF07496/WCF07496_CKDL240000595-1A_HHNVFDSX7_L3_2.fq.gz	7477148.812	7968203.511
s0040	2	novogene_20240510	H3WCCDSXC	ILLUMINA	2	WCF07496	WCF07496-novogene_20240510-2	data/fastqs/novogene_20240510/WCF07496/WCF07496_CKDL240015136-1A_H3WCCDSXC_L2_1.fq.gz	data/fastqs/novogene_20240510/WCF07496/WCF07496_CKDL240015136-1A_H3WCCDSXC_L2_2.fq.gz	7333566.862	7581372.28
s0041	1	novogene_202402	HHNVFDSX7	ILLUMINA	2	WCF07519	WCF07519-novogene_202402-2	data/fastqs/novogene_202402/WCF07519/WCF07519_CKDL240000597-1A_HHNVFDSX7_L2_1.fq.gz	data/fastqs/novogene_202402/WCF07519/WCF07519_CKDL240000597-1A_HHNVFDSX7_L2_2.fq.gz	7765242.751	8282817.979
s0041	2	novogene_20240524	HCHGVDSXC	ILLUMINA	1	WCF07519	WCF07519-novogene_20240524-1	data/fastqs/novogene_20240524/WCF07519/WCF07519_CKDL240017243-1A_HCHGVDSXC_L1_1.fq.gz	data/fastqs/novogene_20240524/WCF07519/WCF07519_CKDL240017243-1A_HCHGVDSXC_L1_2.fq.gz	6164606.183	6403957.497
s0042	1	novogene_202402	HHNVFDSX7	ILLUMINA	4	WCF07526	WCF07526-novogene_202402-4	data/fastqs/novogene_202402/WCF07526/WCF07526_CKDL240000596-1A_HHNVFDSX7_L4_1.fq.gz	data/fastqs/novogene_202402/WCF07526/WCF07526_CKDL240000596-1A_HHNVFDSX7_L4_2.fq.gz	8140931.426	8729692.705
s0042	2	novogene_20240510	H3WCCDSXC	ILLUMINA	3	WCF07526	WCF07526-novogene_20240510-3	data/fastqs/novogene_20240510/WCF07526/WCF07526_CKDL240015137-1A_H3WCCDSXC_L3_1.fq.gz	data/fastqs/novogene_20240510/WCF07526/WCF07526_CKDL240015137-1A_H3WCCDSXC_L3_2.fq.gz	7699763.45	8051964.531
s0043	1	novogene_202402	HHNVFDSX7	ILLUMINA	2	WCF07529	WCF07529-novogene_202402-2	data/fastqs/novogene_202402/WCF07529/WCF07529_CKDL240000597-1A_HHNVFDSX7_L2_1.fq.gz	data/fastqs/novogene_202402/WCF07529/WCF07529_CKDL240000597-1A_HHNVFDSX7_L2_2.fq.gz	9010955.949	9192599.021
s0043	2	novogene_20240524	HCHGVDSXC	ILLUMINA	1	WCF07529	WCF07529-novogene_20240524-1	data/fastqs/novogene_20240524/WCF07529/WCF07529_CKDL240017243-1A_HCHGVDSXC_L1_1.fq.gz	data/fastqs/novogene_20240524/WCF07529/WCF07529_CKDL240017243-1A_HCHGVDSXC_L1_2.fq.gz	7246802.678	7199541.832
s0044	1	novogene_202402	HHNVFDSX7	ILLUMINA	4	WCF07530	WCF07530-novogene_202402-4	data/fastqs/novogene_202402/WCF07530/WCF07530_CKDL240000596-1A_HHNVFDSX7_L4_1.fq.gz	data/fastqs/novogene_202402/WCF07530/WCF07530_CKDL240000596-1A_HHNVFDSX7_L4_2.fq.gz	7729834.834	8329815.219
s0044	2	novogene_20240510	H3WCCDSXC	ILLUMINA	3	WCF07530	WCF07530-novogene_20240510-3	data/fastqs/novogene_20240510/WCF07530/WCF07530_CKDL240015137-1A_H3WCCDSXC_L3_1.fq.gz	data/fastqs/novogene_20240510/WCF07530/WCF07530_CKDL240015137-1A_H3WCCDSXC_L3_2.fq.gz	7268584.759	7630695.655
