sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
s0816	1	lib4	22M5VMLT4	ILLUMINA	3	VTEC000010178	VTEC000010178-lib4-3	data/fastqs/lib4/VTEC000010178_1.fq.gz	data/fastqs/lib4/VTEC000010178_2.fq.gz	653505.226	655965.233
s0817	1	lib4	22M5VMLT4	ILLUMINA	3	VTEC000010179	VTEC000010179-lib4-3	data/fastqs/lib4/VTEC000010179_1.fq.gz	data/fastqs/lib4/VTEC000010179_2.fq.gz	651827.182	659421.014
s0818	1	lib4	22M5VMLT4	ILLUMINA	3	VTEC000010180	VTEC000010180-lib4-3	data/fastqs/lib4/VTEC000010180_1.fq.gz	data/fastqs/lib4/VTEC000010180_2.fq.gz	872829.007	873003.238
s0819	1	lib1	HCVC5DSX7	ILLUMINA	3	WBC_2021_01	WBC_2021_01-lib1-3	data/fastqs/lib1/WBC_2021_01_1.fq.gz	data/fastqs/lib1/WBC_2021_01_2.fq.gz	1416450.385	1504807.004
s0820	1	lib1	HCVC5DSX7	ILLUMINA	3	WBC_2022_01	WBC_2022_01-lib1-3	data/fastqs/lib1/WBC_2022_01_1.fq.gz	data/fastqs/lib1/WBC_2022_01_2.fq.gz	1079419.804	1098119.979
s0821	1	lib1	HCVC5DSX7	ILLUMINA	3	WBC_8_22_22_1	WBC_8_22_22_1-lib1-3	data/fastqs/lib1/WBC_8_22_22_1_1.fq.gz	data/fastqs/lib1/WBC_8_22_22_1_2.fq.gz	1452880.568	1538365.515
s0822	1	lib1	HCVC5DSX7	ILLUMINA	3	WillRogers1	WillRogers1-lib1-3	data/fastqs/lib1/WillRogers1_1.fq.gz	data/fastqs/lib1/WillRogers1_2.fq.gz	1273054.594	1347896.114
s0823	1	lib1	HCVC5DSX7	ILLUMINA	3	Woodlawn1	Woodlawn1-lib1-3	data/fastqs/lib1/Woodlawn1_1.fq.gz	data/fastqs/lib1/Woodlawn1_2.fq.gz	840996.858	890330.674
s0824	1	lib1	HCVC5DSX7	ILLUMINA	3	Woodlawn2	Woodlawn2-lib1-3	data/fastqs/lib1/Woodlawn2_1.fq.gz	data/fastqs/lib1/Woodlawn2_2.fq.gz	1308009.171	1409588.641
s0825	1	lib1	HCVC5DSX7	ILLUMINA	3	Woodlawn3	Woodlawn3-lib1-3	data/fastqs/lib1/Woodlawn3_1.fq.gz	data/fastqs/lib1/Woodlawn3_2.fq.gz	1028658.932	1096006.517
s0826	1	lib1	HCVC5DSX7	ILLUMINA	3	Woodlawn4	Woodlawn4-lib1-3	data/fastqs/lib1/Woodlawn4_1.fq.gz	data/fastqs/lib1/Woodlawn4_2.fq.gz	1208490.032	1287147.749
s0827	1	lib1	HCVC5DSX7	ILLUMINA	3	Woodlawn5	Woodlawn5-lib1-3	data/fastqs/lib1/Woodlawn5_1.fq.gz	data/fastqs/lib1/Woodlawn5_2.fq.gz	1274778.327	1368649.618
s0828	1	lib1	HCVC5DSX7	ILLUMINA	3	YPM_ENT_593583	YPM_ENT_593583-lib1-3	data/fastqs/lib1/YPM_ENT_593583_1.fq.gz	data/fastqs/lib1/YPM_ENT_593583_2.fq.gz	1216322.283	1289316.861
s0829	1	lib3	22HVG3LT4	ILLUMINA	7	YPM_ENT_946635	YPM_ENT_946635-lib3-7	data/fastqs/lib3/YPM_ENT_946635_1.fq.gz	data/fastqs/lib3/YPM_ENT_946635_2.fq.gz	1166130.577	1152463.084
s0830	1	lib1	HCVC5DSX7	ILLUMINA	3	YPM_ENT_946636	YPM_ENT_946636-lib1-3	data/fastqs/lib1/YPM_ENT_946636_1.fq.gz	data/fastqs/lib1/YPM_ENT_946636_2.fq.gz	1240828.808	1341369.432
s0831	1	lib1	HCVC5DSX7	ILLUMINA	3	YPM_ENT_948530	YPM_ENT_948530-lib1-3	data/fastqs/lib1/YPM_ENT_948530_1.fq.gz	data/fastqs/lib1/YPM_ENT_948530_2.fq.gz	1157894.621	1212558.938
s0831	2	lib2	22HM5LLT4	ILLUMINA	4	YPM_ENT_948530	YPM_ENT_948530-lib2-4	data/fastqs/lib2/YPM_ENT_948530_1.fq.gz	data/fastqs/lib2/YPM_ENT_948530_2.fq.gz	1211495.673	1200879.398
s0832	1	lib1	HCVC5DSX7	ILLUMINA	3	YPM_ENT_970767	YPM_ENT_970767-lib1-3	data/fastqs/lib1/YPM_ENT_970767_1.fq.gz	data/fastqs/lib1/YPM_ENT_970767_2.fq.gz	1536876.68	1608039.988
s0833	1	lib1	HCVC5DSX7	ILLUMINA	3	YPM_ENT_971893	YPM_ENT_971893-lib1-3	data/fastqs/lib1/YPM_ENT_971893_1.fq.gz	data/fastqs/lib1/YPM_ENT_971893_2.fq.gz	1180744.139	1211795.33
s0834	1	lib1	HCVC5DSX7	ILLUMINA	3	YPM_ENT_971896	YPM_ENT_971896-lib1-3	data/fastqs/lib1/YPM_ENT_971896_1.fq.gz	data/fastqs/lib1/YPM_ENT_971896_2.fq.gz	1200553.935	1280040.762
s0835	1	lib1	HCVC5DSX7	ILLUMINA	3	YPM_ENT_971898	YPM_ENT_971898-lib1-3	data/fastqs/lib1/YPM_ENT_971898_1.fq.gz	data/fastqs/lib1/YPM_ENT_971898_2.fq.gz	1300818.256	1379985.806
s0836	1	lib1	HCVC5DSX7	ILLUMINA	3	YPM_ENT_972102	YPM_ENT_972102-lib1-3	data/fastqs/lib1/YPM_ENT_972102_1.fq.gz	data/fastqs/lib1/YPM_ENT_972102_2.fq.gz	1221655.918	1304426.92
s0837	1	lib1	HCVC5DSX7	ILLUMINA	3	YPM_ENT_972882	YPM_ENT_972882-lib1-3	data/fastqs/lib1/YPM_ENT_972882_1.fq.gz	data/fastqs/lib1/YPM_ENT_972882_2.fq.gz	1190158.181	1258746.894
s0838	1	lib1	HCVC5DSX7	ILLUMINA	3	YPM_ENT_972885	YPM_ENT_972885-lib1-3	data/fastqs/lib1/YPM_ENT_972885_1.fq.gz	data/fastqs/lib1/YPM_ENT_972885_2.fq.gz	1111986.327	1173077.755
s0839	1	lib1	HCVC5DSX7	ILLUMINA	3	YPM_ENT_972887	YPM_ENT_972887-lib1-3	data/fastqs/lib1/YPM_ENT_972887_1.fq.gz	data/fastqs/lib1/YPM_ENT_972887_2.fq.gz	1027725.355	1079504.295
s0840	1	lib1	HCVC5DSX7	ILLUMINA	3	Z1	Z1-lib1-3	data/fastqs/lib1/Z1_1.fq.gz	data/fastqs/lib1/Z1_2.fq.gz	756610.789	775041.697
