sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
22N04622	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04622	22N04622-22N04622-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04622_S169_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04622_S169_L004_R2_001.fastq.gz	6175143.677	6368892.649
22N04624	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04624	22N04624-22N04624-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04624_S170_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04624_S170_L004_R2_001.fastq.gz	5904607.566	5964351.386
22N04625	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04625	22N04625-22N04625-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04625_S171_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04625_S171_L004_R2_001.fastq.gz	6189762.811	6300310.975
22N04627	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04627	22N04627-22N04627-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04627_S172_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04627_S172_L004_R2_001.fastq.gz	6873704.47	7028260.471
22N04630	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04630	22N04630-22N04630-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04630_S173_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04630_S173_L004_R2_001.fastq.gz	5912816.531	6147855.204
22N04632	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04632	22N04632-22N04632-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04632_S174_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04632_S174_L004_R2_001.fastq.gz	4990066.325	5095029.39
22N04633	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04633	22N04633-22N04633-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04633_S175_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04633_S175_L004_R2_001.fastq.gz	5488344.49	5805790.385
22N04634	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04634	22N04634-22N04634-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04634_S176_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04634_S176_L004_R2_001.fastq.gz	5132353.55	5221218.924
22N04635	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04635	22N04635-22N04635-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04635_S177_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04635_S177_L004_R2_001.fastq.gz	6684856.243	6985116.385
22N04636	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04636	22N04636-22N04636-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04636_S178_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04636_S178_L004_R2_001.fastq.gz	6392209.383	6691887.908
22N04639	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04639	22N04639-22N04639-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04639_S179_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04639_S179_L004_R2_001.fastq.gz	5919159.046	6117188.786
22N04641	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04641	22N04641-22N04641-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04641_S180_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04641_S180_L004_R2_001.fastq.gz	5040631.865	5229363.118
22N04643	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04643	22N04643-22N04643-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04643_S181_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04643_S181_L004_R2_001.fastq.gz	4371871.573	4524846.47
22N04652	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04652	22N04652-22N04652-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04652_S182_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04652_S182_L004_R2_001.fastq.gz	5511316.557	5787693.994
22N04654	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04654	22N04654-22N04654-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04654_S183_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04654_S183_L004_R2_001.fastq.gz	5588611.233	5848911.25
